,Date,Description,Category,Amount,Account,Account #,Institution,Month,Week,Transaction Id,Account Id,Check Number,Full Description,Date Added
,12/16/2025,Roto Rooter,Household,-$81.19,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/14/2025,ga5405aegggefc3aaa7df724,a5fe955fe0ga85gdagecegdf,,Roto Rooter,12/16/2025
,12/15/2025,Cricket Wireless,Cell Phone,-$85.00,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/14/2025,9b1aaeacdc1g6cadb9b2edce,76b2c15ae4fabbc100g312cb,,Cricket Wireless,12/15/2025
,12/14/2025,Metro Cinema,Fun,-$36.47,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/14/2025,ffdbeca49bcaeddgcefb65df,6f444bde8771fgc0e3cgf538,,Metro Cinema     xxx-xxx-2316,12/14/2025
,12/14/2025,Renton Healing Art Studio,Gym/Yoga,-$39.99,Discover Platinum,xxxx6374,Discover,12/1/2025,12/14/2025,gce93fgdcbdad3baebc5d36b,eb2fdb0bffd1de7e68ga976g,,Renton Healing Art Studio     xxx-xxx-3714,12/14/2025
,12/13/2025,Albertsons,Groceries,-$141.23,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/7/2025,eabe6af7f25ag7d0cbd891g8,76b2c15ae4fabbc100g312cb,,Albertsons,12/13/2025
,12/13/2025,Keeley Practitioners,Guidance,-$145.17,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/7/2025,cg0g7b5028bbgab953gfdddc,a5fe955fe0ga85gdagecegdf,,Keeley Practitioners     xxx-xxx-3563,12/13/2025
,12/12/2025,Toyota Financing,Prius Loan,-$950.00,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/7/2025,a62edf3bc3agbbfcbga8cg2d,8bcf3af8b1g4e6de2fgbgd1e,,Toyota Financing,12/12/2025
,12/12/2025,Netflix,Streaming,-$19.99,Discover Platinum,xxxx6374,Discover,12/1/2025,12/7/2025,95c1d1eggeg2305a67fc10f0,eb2fdb0bffd1de7e68ga976g,,Netflix     xxx-xxx-8105,12/12/2025
,12/12/2025,Nordstrom,Gifts,-$40.66,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/7/2025,2a5aead7fa24dc9c5bgfb7e7,8bcf3af8b1g4e6de2fgbgd1e,,Nordstrom,12/12/2025
,12/11/2025,BP,Gas,-$41.24,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/7/2025,be4a3f93g6gg1bb19ge57fc7,6f444bde8771fgc0e3cgf538,,BP     xxx-xxx-1616,12/11/2025
,12/11/2025,Spin,Fun,-$26.79,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/7/2025,0db1eafg01a5aggg96gg953e,6f444bde8771fgc0e3cgf538,,Spin,12/11/2025
,12/11/2025,Amtrack,Vacation,-$100.60,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/7/2025,93f0ccb5g2adecbbc02f48dg,76b2c15ae4fabbc100g312cb,,Amtrack     xxx-xxx-3803,12/11/2025
,12/11/2025,Starbucks Payroll,Paycheck,"$6,000.00",Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/7/2025,75g40gfeadae8fgcg533agc5,6f444bde8771fgc0e3cgf538,,Starbucks Payroll     xxx-xxx-2501,12/11/2025
,12/10/2025,Metro Cinema,Fun,-$24.37,Discover Platinum,xxxx6374,Discover,12/1/2025,12/7/2025,ddegf5d9ea7gb83gdcb85f32,eb2fdb0bffd1de7e68ga976g,,Metro Cinema,12/10/2025
,12/10/2025,Renfe,Vacation,-$193.24,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/7/2025,b1b54dcfbe3bac0b060c808g,a5fe955fe0ga85gdagecegdf,,Renfe,12/10/2025
,12/10/2025,Coastal Kitchen,Restaurants,-$82.19,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/7/2025,cc7a81gce5ca0agf9bga9aaf,8bcf3af8b1g4e6de2fgbgd1e,,Coastal Kitchen     xxx-xxx-7787,12/10/2025
,12/10/2025,Smile Train,Donations,-$35.00,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/7/2025,5e4gdceebf49e29a86dgaccg,6f444bde8771fgc0e3cgf538,,Smile Train     xxx-xxx-9390,12/10/2025
,12/9/2025,Mailboxes Etc,Misc,-$9.73,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/7/2025,bdc65gda9eff64gde3dd9b7e,76b2c15ae4fabbc100g312cb,,Mailboxes Etc     xxx-xxx-2117,12/9/2025
,12/9/2025,Starbucks,Snacks/Coffee,-$22.92,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,12/7/2025,a57259becd89b3f8291a4be5,a5fe955fe0ga85gdagecegdf,,Starbucks,12/9/2025
,12/8/2025,Texaco,Gas,-$37.64,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/7/2025,ggceb0dggf57fb4dfbd0fg6a,76b2c15ae4fabbc100g312cb,,Texaco     xxx-xxx-5541,12/8/2025
,12/8/2025,The Guitar Store,Hobbies,-$18.53,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/7/2025,a5d8gd06ca3fa6bbccedcf15,76b2c15ae4fabbc100g312cb,,The Guitar Store,12/8/2025
,12/8/2025,Fedex,Misc,-$14.36,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/7/2025,d4a6f3fd0bg53g3ef5dfe6c8,8bcf3af8b1g4e6de2fgbgd1e,,Fedex     xxx-xxx-2626,12/8/2025
,12/8/2025,Bartells,Pharmacy,-$38.02,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/7/2025,347gf9de19ff77bgaee12agg,8bcf3af8b1g4e6de2fgbgd1e,,Bartells,12/8/2025
,12/7/2025,Allstate,Car Insurance,-$324.50,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,12/7/2025,dfa11c7fec93bef2f921g7d5,6f444bde8771fgc0e3cgf538,,Allstate     xxx-xxx-6064,12/7/2025
,12/7/2025,The Guitar Store,Hobbies,-$14.24,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/7/2025,8d9b027172cce465bcbg46gg,8bcf3af8b1g4e6de2fgbgd1e,,The Guitar Store,12/7/2025
,12/7/2025,Electronic Frontier Foundation,Donations,-$40.00,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,12/7/2025,0ccgdb1e81ecacg0febfb2b8,76b2c15ae4fabbc100g312cb,,Electronic Frontier Foundation,12/7/2025
,12/7/2025,Kaiser Pharmacy,Pharmacy,-$23.67,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,12/7/2025,648a5d5gc09fddec24g7b3da,8bcf3af8b1g4e6de2fgbgd1e,,Kaiser Pharmacy,12/7/2025
,12/6/2025,The Paramount,Fun,-$34.43,Discover Platinum,xxxx6374,Discover,12/1/2025,11/30/2025,e4a7cb835ae4e05bfc5eg323,eb2fdb0bffd1de7e68ga976g,,The Paramount,12/6/2025
,12/6/2025,Office Depot,Misc,-$14.26,Discover Platinum,xxxx6374,Discover,12/1/2025,11/30/2025,cfc6fbb32b01cfdf15dab25d,eb2fdb0bffd1de7e68ga976g,,Office Depot,12/6/2025
,12/5/2025,Texaco,Camper,-$56.75,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,11/30/2025,8f8ge8g30a8gdbddfd6bb9cf,a5fe955fe0ga85gdagecegdf,,Texaco,12/5/2025
,12/5/2025,Tower Records,Hobbies,-$11.22,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,11/30/2025,592bgde9f162bcaab6aedgf8,76b2c15ae4fabbc100g312cb,,Tower Records,12/5/2025
,12/5/2025,Herkheimer,Snacks/Coffee,-$9.55,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,11/30/2025,gcfgecb8bg81fb8e5b06b642,8bcf3af8b1g4e6de2fgbgd1e,,Herkheimer,12/5/2025
,12/5/2025,Puget Sound Energy,Utilities,-$110.00,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,11/30/2025,fg4egdeb35e17aff0eg4c0bd,8bcf3af8b1g4e6de2fgbgd1e,,Puget Sound Energy     xxx-xxx-4599,12/5/2025
,12/4/2025,Netflix,Streaming,-$19.99,Discover Platinum,xxxx6374,Discover,12/1/2025,11/30/2025,df1c5cfdaf4bfa9bbdfd9f80,eb2fdb0bffd1de7e68ga976g,,Netflix,12/4/2025
,12/4/2025,Smile Train,Donations,-$35.00,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,11/30/2025,272ccd46adg45dffe5c335a0,6f444bde8771fgc0e3cgf538,,Smile Train     xxx-xxx-9034,12/4/2025
,12/3/2025,REI,Clothes/Gear,-$28.99,Inspirus Savings,xxxx0001,Inspirus CU - Bank,12/1/2025,11/30/2025,6fd7b62f0edge62bab2b052d,6f444bde8771fgc0e3cgf538,,REI     xxx-xxx-8003,12/3/2025
,12/3/2025,Tower Records,Hobbies,-$15.13,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,11/30/2025,7d8dffd8bbdb10geg7df1cee,8bcf3af8b1g4e6de2fgbgd1e,,Tower Records     xxx-xxx-5868,12/3/2025
,12/3/2025,Stateside,Restaurants,-$99.01,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,11/30/2025,97gc3ae5e89aacfb51cc0bb5,a5fe955fe0ga85gdagecegdf,,Stateside,12/3/2025
,12/2/2025,Tower Records,Hobbies,-$13.53,Bank of America Visa Signature,xxxx2521,Bank of America,12/1/2025,11/30/2025,fbeaagd1cfddf816baagec8a,a5fe955fe0ga85gdagecegdf,,Tower Records     xxx-xxx-5600,12/2/2025
,12/2/2025,Amtrack,Vacation,-$226.69,Discover Platinum,xxxx6374,Discover,12/1/2025,11/30/2025,7c6ae319d0e01fcgb65eg04c,eb2fdb0bffd1de7e68ga976g,,Amtrack     xxx-xxx-8728,12/2/2025
,12/2/2025,Tenant Rent Payment,Rental Income,$950.00,Chase Freedom,xxxx8374,Chase Bank,12/1/2025,11/30/2025,1e81329ebe4e7acf3227cgb1,76b2c15ae4fabbc100g312cb,,Tenant Rent Payment,12/2/2025
,12/1/2025,Feathered Friends,Clothes/Gear,-$40.22,Inspirus Checking,xxxx0021,Inspirus CU - Bank,12/1/2025,11/30/2025,e1d99a9bbfgega7671cdaa5f,8bcf3af8b1g4e6de2fgbgd1e,,Feathered Friends,12/1/2025
,11/28/2025,Lifewise,Insurance,-$241.26,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/23/2025,e011fbb8aba01ded4122d666,a5fe955fe0ga85gdagecegdf,,Lifewise,11/28/2025
,11/28/2025,Housecleaners,Household,-$47.49,Discover Platinum,xxxx6374,Discover,11/1/2025,11/23/2025,ed9g6ea498bca3cagcbf1d67,eb2fdb0bffd1de7e68ga976g,,Housecleaners,11/28/2025
,11/27/2025,Wired,Subscriptions,-$11.99,Chase Freedom,xxxx8374,Chase Bank,11/1/2025,11/23/2025,0877gg72db40fea17fd2dgea,76b2c15ae4fabbc100g312cb,,Wired     xxx-xxx-5245,11/27/2025
,11/27/2025,Whole Foods,Groceries,-$105.00,Inspirus Checking,xxxx0021,Inspirus CU - Bank,11/1/2025,11/23/2025,40e75ad5gf4a8bed3b3ae9a9,8bcf3af8b1g4e6de2fgbgd1e,,Whole Foods     xxx-xxx-1701,11/27/2025
,11/26/2025,Southwest Airlines,Vacation,-$47.19,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/23/2025,cg6fgeae058g0cfc3c66c0ed,a5fe955fe0ga85gdagecegdf,,Southwest Airlines     xxx-xxx-7028,11/26/2025
,11/25/2025,Slate,Snacks/Coffee,-$4.54,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/23/2025,cde5725c4defdc1c167g3gf8,a5fe955fe0ga85gdagecegdf,,Slate,11/25/2025
,11/24/2025,Tower Records,Hobbies,-$16.86,Inspirus Checking,xxxx0021,Inspirus CU - Bank,11/1/2025,11/23/2025,bg3fdb2ga3gg0d9cc55g5fd3,8bcf3af8b1g4e6de2fgbgd1e,,Tower Records     xxx-xxx-4836,11/24/2025
,11/24/2025,The Sierra Club,Donations,-$39.53,Inspirus Checking,xxxx0021,Inspirus CU - Bank,11/1/2025,11/23/2025,gge1afb8dced525b1be9gdce,8bcf3af8b1g4e6de2fgbgd1e,,The Sierra Club     xxx-xxx-9647,11/24/2025
,11/23/2025,Allstate,Car Insurance,-$324.50,Inspirus Savings,xxxx0001,Inspirus CU - Bank,11/1/2025,11/23/2025,beeg7ec0fa6gbcba48bbefb2,6f444bde8771fgc0e3cgf538,,Allstate,11/23/2025
,11/23/2025,Credit Card Payment Received,Transfer,"$3,366.49",Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/23/2025,8186bgf9gd43750g35edca24,a5fe955fe0ga85gdagecegdf,,Credit Card Payment Received     xxx-xxx-7443,11/23/2025
,11/22/2025,Starbucks,Snacks/Coffee,-$6.74,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/16/2025,5a634ggfg9d4c5fbdd15abcf,a5fe955fe0ga85gdagecegdf,,Starbucks     xxx-xxx-9985,11/22/2025
,11/21/2025,Shell,Gas,-$59.81,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/16/2025,74bd1gb6f4gfd0a4e5c7fed7,a5fe955fe0ga85gdagecegdf,,Shell     xxx-xxx-9954,11/21/2025
,11/21/2025,Mount Si Construction,Household,-$92.23,Discover Platinum,xxxx6374,Discover,11/1/2025,11/16/2025,3f26cc2a05d0fbg9c9def6e6,eb2fdb0bffd1de7e68ga976g,,Mount Si Contstruction     xxx-xxx-4694,11/21/2025
,11/21/2025,Credit Card Payment,Transfer,"-$3,366.49",Inspirus Checking,xxxx0021,Inspirus CU - Bank,11/1/2025,11/16/2025,d3ca9dd69befaa519ad6896b,8bcf3af8b1g4e6de2fgbgd1e,,Credit Card Payment     xxx-xxx-3138,11/21/2025
,11/20/2025,REI,Clothes/Gear,-$35.01,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/16/2025,c478fe662efcb2dfg0055g6b,a5fe955fe0ga85gdagecegdf,,REI     xxx-xxx-2796,11/20/2025
,11/20/2025,Spin,Fun,-$35.67,Inspirus Checking,xxxx0021,Inspirus CU - Bank,11/1/2025,11/16/2025,f619c9ee10b1c09ged3b60a6,8bcf3af8b1g4e6de2fgbgd1e,,Spin     xxx-xxx-6420,11/20/2025
,11/20/2025,AppleTv,Streaming,-$30.61,Discover Platinum,xxxx6374,Discover,11/1/2025,11/16/2025,f4aca119a264dge8fd84e6dc,eb2fdb0bffd1de7e68ga976g,,AppleTv     xxx-xxx-8979,11/20/2025
,11/20/2025,Renfe,Vacation,-$1.60,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/16/2025,0a7f0abb992de90a9e3faaab,a5fe955fe0ga85gdagecegdf,,Renfe     xxx-xxx-7593,11/20/2025
,11/20/2025,CenturyLink,Internet,-$87.50,Inspirus Savings,xxxx0001,Inspirus CU - Bank,11/1/2025,11/16/2025,d17ffee8091cbe3g50ecgc0a,6f444bde8771fgc0e3cgf538,,CenturyLink,11/20/2025
,11/20/2025,Starbucks Payroll,Paycheck,"$6,000.00",Inspirus Savings,xxxx0001,Inspirus CU - Bank,11/1/2025,11/16/2025,12b220dc2179cgef922affcd,6f444bde8771fgc0e3cgf538,,Starbucks Payroll     xxx-xxx-3287,11/20/2025
,11/19/2025,Better Homes & Gardens,Subscriptions,-$15.70,Chase Freedom,xxxx8374,Chase Bank,11/1/2025,11/16/2025,ddeeb2eag918fd34bf3279fd,76b2c15ae4fabbc100g312cb,,Better Homes & Gardens,11/19/2025
,11/19/2025,Better Homes & Gardens,Subscriptions,-$14.06,Inspirus Savings,xxxx0001,Inspirus CU - Bank,11/1/2025,11/16/2025,aeab8028e06b8b7d038g3fg2,6f444bde8771fgc0e3cgf538,,Better Homes & Gardens,11/19/2025
,11/19/2025,Whole Foods,Groceries,-$123.69,Inspirus Checking,xxxx0021,Inspirus CU - Bank,11/1/2025,11/16/2025,cd7b58caegfc7fdf0ffbagfa,8bcf3af8b1g4e6de2fgbgd1e,,Whole Foods     xxx-xxx-2593,11/19/2025
,11/19/2025,Analog,Snacks/Coffee,-$8.73,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/16/2025,865faff58f3d4be48eafgcbe,a5fe955fe0ga85gdagecegdf,,Analog,11/19/2025
,11/19/2025,Tenant Rent Payment,Rental Income,$950.00,Discover Platinum,xxxx6374,Discover,11/1/2025,11/16/2025,4gbf517aa71bfdbbfcg46066,eb2fdb0bffd1de7e68ga976g,,Tenant Rent Payment,11/19/2025
,11/18/2025,Tower Records,Hobbies,-$13.96,Chase Freedom,xxxx8374,Chase Bank,11/1/2025,11/16/2025,e1d90ged22afgdc5a824db4g,76b2c15ae4fabbc100g312cb,,Tower Records     xxx-xxx-5452,11/18/2025
,11/18/2025,UPS,Misc,-$18.49,Chase Freedom,xxxx8374,Chase Bank,11/1/2025,11/16/2025,0aabc09d023g11e8b2a6gc02,76b2c15ae4fabbc100g312cb,,UPS     xxx-xxx-4554,11/18/2025
,11/17/2025,Stateside,Restaurants,-$44.09,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/16/2025,a9ffdaecd6g0af882bb7fd6e,a5fe955fe0ga85gdagecegdf,,Stateside     xxx-xxx-2702,11/17/2025
,11/16/2025,Feathered Friends,Clothes/Gear,-$48.88,Discover Platinum,xxxx6374,Discover,11/1/2025,11/16/2025,ec9fc79degb09b2de4fe88gb,eb2fdb0bffd1de7e68ga976g,,Feathered Friends     xxx-xxx-1567,11/16/2025
,11/16/2025,Kaiser Pharmacy,Pharmacy,-$30.78,Inspirus Checking,xxxx0021,Inspirus CU - Bank,11/1/2025,11/16/2025,ec2e61dagcf8f44gaedgfdb3,8bcf3af8b1g4e6de2fgbgd1e,,Kaiser Pharmacy,11/16/2025
,11/15/2025,Nordstrom,Clothes/Gear,-$29.02,Inspirus Checking,xxxx0021,Inspirus CU - Bank,11/1/2025,11/9/2025,2187df9e5efbb4b636b4fd0d,8bcf3af8b1g4e6de2fgbgd1e,,Nordstrom     xxx-xxx-3726,11/15/2025
,11/14/2025,Seattle Sehawks,Fun,-$27.64,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/9/2025,5fc36b6341c077cg8bfa2gac,a5fe955fe0ga85gdagecegdf,,Seattle Sehawks,11/14/2025
,11/14/2025,Liberty,Snacks/Coffee,-$8.60,Chase Freedom,xxxx8374,Chase Bank,11/1/2025,11/9/2025,geba97ddgf5gde9eb1ac1f7e,76b2c15ae4fabbc100g312cb,,Liberty,11/14/2025
,11/14/2025,Patagonia,Gifts,-$45.13,Bank of America Visa Signature,xxxx2521,Bank of America,11/1/2025,11/9/2025,gdd4fg87aafgec5db5c7ee9g,a5fe955fe0ga85gdagecegdf,,Patagonia,11/14/2025
,11/13/2025,Seattle Sounders,Fun,-$35.39,Discover Platinum,xxxx6374,Discover,11/1/2025,11/9/2025,g2cd5eccc80cee81ea8g1c6g,eb2fdb0bffd1de7e68ga976g,,Seattle Sounders     xxx-xxx-2897,11/13/2025
,11/13/2025,Tower Records,Hobbies,-$24.20,Discover Platinum,xxxx6374,Discover,11/1/2025,11/9/2025,cda33gc50dg88b03cgf1f924,eb2fdb0bffd1de7e68ga976g,,Tower Records     xxx-xxx-6693,11/13/2025
